How long is the imaging session (answer in seconds; time from TTL HIGH to end of the aqusition)?0.00307416915894 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
0.00390410423279 , array('B', [0, 0, 99, 208, 122, 185, 0, 0])
0.0195369720459 , array('B', [0, 0, 255, 255, 252, 255, 0, 0])
0.0355451107025 , array('B', [0, 0, 236, 255, 192, 255, 0, 0])
0.0515410900116 , array('B', [0, 0, 250, 255, 193, 255, 0, 0])
0.0675430297852 , array('B', [0, 0, 223, 255, 187, 255, 0, 0])
0.0835440158844 , array('B', [0, 0, 238, 255, 183, 255, 0, 0])
0.0995471477509 , array('B', [0, 0, 219, 255, 188, 255, 0, 0])
0.115547180176 , array('B', [0, 0, 235, 255, 194, 255, 0, 0])
0.131548166275 , array('B', [0, 0, 213, 255, 187, 255, 0, 0])
0.147552967072 , array('B', [0, 0, 245, 255, 188, 255, 0, 0])
0.163552999496 , array('B', [0, 0, 227, 255, 198, 255, 0, 0])
0.179553985596 , array('B', [0, 0, 4, 0, 200, 255, 0, 0])
0.195564985275 , array('B', [0, 0, 241, 255, 203, 255, 0, 0])
0.21156001091 , array('B', [0, 0, 4, 0, 200, 255, 0, 0])
0.227563142776 , array('B', [0, 0, 241, 255, 197, 255, 0, 0])
0.243564128876 , array('B', [0, 0, 251, 255, 204, 255, 0, 0])
0.259567022324 , array('B', [0, 0, 241, 255, 203, 255, 0, 0])
0.27557015419 , array('B', [0, 0, 247, 255, 205, 255, 0, 0])
0.291572093964 , array('B', [0, 0, 247, 255, 204, 255, 0, 0])
0.307574033737 , array('B', [0, 0, 255, 255, 204, 255, 0, 0])
0.323573112488 , array('B', [0, 0, 2, 0, 203, 255, 0, 0])
0.339586019516 , array('B', [0, 0, 246, 255, 201, 255, 0, 0])
0.355584144592 , array('B', [0, 0, 252, 255, 214, 255, 0, 0])
0.37158203125 , array('B', [0, 0, 221, 255, 203, 255, 0, 0])
0.387590169907 , array('B', [0, 0, 219, 255, 213, 255, 0, 0])
0.403586149216 , array('B', [0, 0, 193, 255, 215, 255, 0, 0])
0.419601202011 , array('B', [0, 0, 211, 255, 220, 255, 0, 0])
0.435599088669 , array('B', [0, 0, 189, 255, 220, 255, 0, 0])
0.451600074768 , array('B', [0, 0, 239, 255, 212, 255, 0, 0])
0.467709064484 , array('B', [0, 0, 231, 255, 206, 255, 0, 0])
0.483618974686 , array('B', [0, 0, 3, 0, 202, 255, 0, 0])
0.499605178833 , array('B', [0, 0, 243, 255, 202, 255, 0, 0])
0.515611171722 , array('B', [0, 0, 255, 255, 203, 255, 0, 0])
0.531605005264 , array('B', [0, 0, 242, 255, 205, 255, 0, 0])
0.547614097595 , array('B', [0, 0, 237, 255, 209, 255, 0, 0])
0.563615083694 , array('B', [0, 0, 233, 255, 211, 255, 0, 0])
0.579617977142 , array('B', [0, 0, 229, 255, 221, 255, 0, 0])
0.595616102219 , array('B', [0, 0, 230, 255, 215, 255, 0, 0])
0.611613988876 , array('B', [0, 0, 212, 255, 220, 255, 0, 0])
0.627617120743 , array('B', [0, 0, 247, 255, 226, 255, 0, 0])
0.643619060516 , array('B', [0, 0, 229, 255, 230, 255, 0, 0])
0.659622192383 , array('B', [0, 0, 3, 0, 233, 255, 0, 0])
0.675621986389 , array('B', [0, 0, 231, 255, 237, 255, 0, 0])
0.69162607193 , array('B', [0, 0, 249, 255, 238, 255, 0, 0])
0.707627058029 , array('B', [0, 0, 216, 255, 237, 255, 0, 0])
0.723628997803 , array('B', [0, 0, 229, 255, 234, 255, 0, 0])
0.739631175995 , array('B', [0, 0, 201, 255, 234, 255, 0, 0])
0.755635023117 , array('B', [0, 0, 215, 255, 231, 255, 0, 0])
0.771636009216 , array('B', [0, 0, 195, 255, 229, 255, 0, 0])
0.787642002106 , array('B', [0, 0, 219, 255, 227, 255, 0, 0])
0.803640127182 , array('B', [0, 0, 199, 255, 231, 255, 0, 0])
0.819646120071 , array('B', [0, 0, 234, 255, 230, 255, 0, 0])
0.835641145706 , array('B', [0, 0, 214, 255, 235, 255, 0, 0])
0.851647138596 , array('B', [0, 0, 242, 255, 234, 255, 0, 0])
0.867649078369 , array('B', [0, 0, 222, 255, 238, 255, 0, 0])
0.883650064468 , array('B', [0, 0, 235, 255, 232, 255, 0, 0])
0.899653196335 , array('B', [0, 0, 213, 255, 233, 255, 0, 0])
0.915655136108 , array('B', [0, 0, 233, 255, 232, 255, 0, 0])
0.931657075882 , array('B', [0, 0, 214, 255, 235, 255, 0, 0])
0.947659015656 , array('B', [0, 0, 236, 255, 235, 255, 0, 0])
0.963660001755 , array('B', [0, 0, 219, 255, 238, 255, 0, 0])
0.979663133621 , array('B', [0, 0, 236, 255, 239, 255, 0, 0])
0.995666027069 , array('B', [0, 0, 219, 255, 238, 255, 0, 0])
1.01166820526 , array('B', [0, 0, 236, 255, 238, 255, 0, 0])
1.0276761055 , array('B', [0, 0, 221, 255, 239, 255, 0, 0])
1.04367208481 , array('B', [0, 0, 239, 255, 237, 255, 0, 0])
1.05968999863 , array('B', [0, 0, 232, 255, 237, 255, 0, 0])
1.07567811012 , array('B', [0, 0, 254, 255, 238, 255, 0, 0])
1.09167814255 , array('B', [0, 0, 242, 255, 236, 255, 0, 0])
1.107681036 , array('B', [0, 0, 250, 255, 237, 255, 0, 0])
1.12368297577 , array('B', [0, 0, 236, 255, 240, 255, 0, 0])
1.13968515396 , array('B', [0, 0, 239, 255, 241, 255, 0, 0])
1.15568709373 , array('B', [0, 0, 231, 255, 243, 255, 0, 0])
1.17168903351 , array('B', [0, 0, 229, 255, 251, 255, 0, 0])
1.18769407272 , array('B', [0, 0, 231, 255, 254, 255, 0, 0])
1.20369005203 , array('B', [0, 0, 218, 255, 255, 255, 0, 0])
1.21969509125 , array('B', [0, 0, 229, 255, 3, 0, 0, 0])
